"Month","river"
"1870-01",99.032
"1870-02",59
"1870-03",47.097
"1870-04",46.667
"1870-05",261.613
"1870-06",890.323
"1870-07",933.333
"1870-08",716.129
"1870-09",493.333
"1870-10",309.032
"1870-11",225.161
"1870-12",172.143
"1871-01",128.387
"1871-02",80.667
"1871-03",63.226
"1871-04",65.667
"1871-05",213.871
"1871-06",774.194
"1871-07",860
"1871-08",567.742
"1871-09",304.333
"1871-10",209.032
"1871-11",144.516
"1871-12",92.5
"1872-01",62.903
"1872-02",52.333
"1872-03",48.387
"1872-04",76
"1872-05",269.677
"1872-06",761.29
"1872-07",910
"1872-08",687.097
"1872-09",430
"1872-10",268.065
"1872-11",189.032
"1872-12",160
"1873-01",106.774
"1873-02",65.333
"1873-03",48.065
"1873-04",120.333
"1873-05",198.387
"1873-06",612.903
"1873-07",726.667
"1873-08",490.323
"1873-09",265.333
"1873-10",177.097
"1873-11",115.806
"1873-12",73.214
"1874-01",57.419
"1874-02",44.667
"1874-03",40.323
"1874-04",83.333
"1874-05",264.516
"1874-06",932.258
"1874-07",1020
"1874-08",696.774
"1874-09",370
"1874-10",250.968
"1874-11",190.968
"1874-12",145.714
"1875-01",91.613
"1875-02",66.667
"1875-03",55.161
"1875-04",60.333
"1875-05",207.097
"1875-06",800
"1875-07",903.333
"1875-08",664.516
"1875-09",383.333
"1875-10",244.516
"1875-11",182.903
"1875-12",160.357
"1876-01",124.516
"1876-02",81.667
"1876-03",62.581
"1876-04",76.667
"1876-05",268.387
"1876-06",761.29
"1876-07",956.667
"1876-08",583.871
"1876-09",327.333
"1876-10",218.065
"1876-11",158.387
"1876-12",109.286
"1877-01",81.613
"1877-02",66.333
"1877-03",62.581
"1877-04",84
"1877-05",228.065
"1877-06",509.677
"1877-07",556.667
"1877-08",406.452
"1877-09",246.333
"1877-10",157.097
"1877-11",118.71
"1877-12",81.786
"1878-01",58.71
"1878-02",47
"1878-03",40.323
"1878-04",44
"1878-05",184.516
"1878-06",712.903
"1878-07",1066.667
"1878-08",883.871
"1878-09",480
"1878-10",325.806
"1878-11",248.387
"1878-12",207.5
